BeginDate,EndDate,TimeWindow,Correlation,Corr. Stddev,#EQs
 
1950.0765199999998,1951.07648,1.0,1.3709,1.2746,94
1950.1534399999998,1951.1534,1.0,1.3807,1.2963,97
1950.2303599999998,1951.23032,1.0,1.3864,1.2971,95
1950.30728,1951.30724,1.0,1.366,1.28,96
1950.3842,1951.38416,1.0,1.3628,1.2706,93
1950.46112,1951.46108,1.0,1.3634,1.2717,94
1950.53804,1951.538,1.0,1.4779,1.1981,103
1950.6149599999999,1951.61492,1.0,1.5671,1.2756,52
1950.6918799999999,1951.69184,1.0,1.5219,1.2396,47
1950.7687999999998,1951.76876,1.0,1.46,1.2754,47
1950.8457199999998,1951.84568,1.0,1.5019,1.2753,44
1950.92264,1951.9226,1.0,1.5696,1.3031,46
1950.99956,1951.99952,1.0,1.5797,1.2672,51
1951.07648,1952.07644,1.0,1.4277,0.9872,43
1951.1534,1952.15336,1.0,1.3874,1.0898,47
1951.23032,1952.23028,1.0,1.6465,1.3835,48
1951.3072399999999,1952.3072,1.0,1.561,1.299,50
1951.3841599999998,1952.38412,1.0,1.577,1.3165,47
1951.4610799999998,1952.46104,1.0,2.1164,1.3856,50
1951.538,1952.53796,1.0,2.059,1.5054,44
1951.61492,1952.61488,1.0,1.2571,1.2662,259
1951.69184,1952.6918,1.0,1.252,1.2589,289
1951.76876,1952.76872,1.0,1.259,1.2599,301
1951.84568,1952.84564,1.0,1.2637,1.2585,309
1951.9225999999999,1952.92256,1.0,1.5557,1.3359,328
1951.9995199999998,1952.99948,1.0,1.5883,1.3405,334
1952.0764399999998,1953.0764,1.0,1.5765,1.3409,340
1952.1533599999998,1953.15332,1.0,1.573,1.3177,347
1952.23028,1953.23024,1.0,1.5757,1.3164,355
1952.3072,1953.30716,1.0,1.5865,1.3146,355
1952.38412,1953.38408,1.0,1.4945,1.2372,368
1952.46104,1953.461,1.0,1.5107,1.2277,384
1952.5379599999999,1953.53792,1.0,1.4883,1.4767,394
1952.6148799999999,1953.61484,1.0,1.6649,1.7645,186
1952.6917999999998,1953.69176,1.0,1.7116,1.8695,164
1952.7687199999998,1953.76868,1.0,1.7392,1.9624,153
1952.84564,1953.8456,1.0,1.7727,2.0143,147
1952.92256,1953.92252,1.0,1.692,1.8571,133
1952.99948,1953.99944,1.0,1.5303,1.8512,124
1953.0764,1954.07636,1.0,1.4661,2.0499,131
1953.15332,1954.15328,1.0,1.4066,2.166,128
1953.2302399999999,1954.2302,1.0,1.5252,1.7851,188
1953.3071599999998,1954.30712,1.0,1.4613,1.7137,201
1953.3840799999998,1954.38404,1.0,1.4136,1.7123,200
1953.4609999999998,1954.46096,1.0,1.4058,1.6578,189
1953.53792,1954.53788,1.0,1.3757,1.6258,180
1953.61484,1954.6148,1.0,1.2967,1.6785,175
1953.69176,1954.69172,1.0,1.2844,1.6617,169
1953.76868,1954.76864,1.0,1.2628,1.6248,171
1953.8455999999999,1954.84556,1.0,1.2591,1.5972,189
1953.9225199999998,1954.92248,1.0,1.3017,1.5978,214
1953.9994399999998,1954.9994,1.0,1.3132,1.5981,215
1954.0763599999998,1955.07632,1.0,1.2972,1.538,209
1954.15328,1955.15324,1.0,1.2771,1.499,201
1954.2302,1955.23016,1.0,1.5846,1.6594,134
1954.30712,1955.30708,1.0,1.6261,1.6614,116
1954.38404,1955.384,1.0,1.6332,1.5514,110
1954.46096,1955.46092,1.0,1.6546,1.5511,108
1954.5378799999999,1955.53784,1.0,1.6538,1.5343,107
1954.6147999999998,1955.61476,1.0,1.6342,1.528,112
1954.6917199999998,1955.69168,1.0,1.6302,1.5285,114
1954.76864,1955.7686,1.0,1.6742,1.5157,109
1954.84556,1955.84552,1.0,1.6671,1.5346,92
1954.92248,1955.92244,1.0,1.7846,1.9726,71
1954.9994,1955.99936,1.0,1.9124,1.4194,89
1955.07632,1956.07628,1.0,1.8542,1.2929,87
1955.1532399999999,1956.1532,1.0,3.8648,3.4327,166
1955.2301599999998,1956.23012,1.0,4.0471,3.0338,213
1955.3070799999998,1956.30704,1.0,4.0647,3.0463,224
1955.3839999999998,1956.38396,1.0,4.1657,3.0076,229
1955.46092,1956.46088,1.0,4.168,3.0217,229
1955.53784,1956.5378,1.0,4.2326,3.0026,236
1955.61476,1956.61472,1.0,4.2336,2.9939,227
1955.69168,1956.69164,1.0,4.2052,2.9493,240
1955.7685999999999,1956.76856,1.0,4.2251,2.9325,249
1955.8455199999999,1956.84548,1.0,4.2451,2.9149,248
1955.9224399999998,1956.9224,1.0,4.1985,2.877,241
1955.9993599999998,1956.99932,1.0,4.3762,2.872,228
1956.07628,1957.07624,1.0,4.4131,2.8159,229
1956.1532,1957.15316,1.0,4.1197,2.6701,162
1956.23012,1957.23008,1.0,4.4302,2.796,122
1956.30704,1957.307,1.0,4.3175,2.7834,126
1956.38396,1957.38392,1.0,3.7507,2.7543,133
1956.4608799999999,1957.46084,1.0,3.5895,2.7099,134
1956.5377999999998,1957.53776,1.0,3.4399,2.6685,129
1956.6147199999998,1957.61468,1.0,3.3326,2.6069,139
1956.69164,1957.6916,1.0,3.0599,2.5419,125
1956.76856,1957.76852,1.0,3.0522,2.5231,124
1956.84548,1957.84544,1.0,3.0067,2.5098,124
1956.9224,1957.92236,1.0,2.9509,2.5002,124
1956.99932,1957.99928,1.0,2.9136,2.4819,127
1957.0762399999999,1958.0762,1.0,2.9085,2.4852,124
1957.1531599999998,1958.15312,1.0,2.6831,2.4124,110
1957.2300799999998,1958.23004,1.0,2.6828,2.4144,107
1957.3069999999998,1958.30696,1.0,2.5607,2.4482,99
1957.38392,1958.38388,1.0,2.931,2.6861,85
1957.46084,1958.4608,1.0,3.0688,2.7578,81
1957.53776,1958.53772,1.0,2.8661,2.7039,79
1957.61468,1958.61464,1.0,2.8776,2.7806,73
1957.6915999999999,1958.69156,1.0,2.9961,2.8377,74
1957.7685199999999,1958.76848,1.0,2.7582,2.7637,69
1957.8454399999998,1958.8454,1.0,2.6797,2.7174,73
1957.9223599999998,1958.92232,1.0,2.1931,2.0922,85
1957.99928,1958.99924,1.0,1.5894,1.3009,95
1958.0762,1959.07616,1.0,1.7617,1.3228,115
1958.15312,1959.15308,1.0,1.7287,1.2358,120
1958.23004,1959.23,1.0,1.6654,1.1385,117
1958.30696,1959.30692,1.0,1.5978,1.0798,114
1958.3838799999999,1959.38384,1.0,1.6029,1.1224,117
1958.4607999999998,1959.46076,1.0,1.6037,1.1145,119
1958.5377199999998,1959.53768,1.0,1.6012,1.116,124
1958.61464,1959.6146,1.0,1.5835,1.0973,128
1958.69156,1959.69152,1.0,1.5898,1.0898,133
1958.76848,1959.76844,1.0,1.5068,1.0026,134
1958.8454,1959.84536,1.0,1.4981,0.9768,136
1958.92232,1959.92228,1.0,1.5168,1.0007,121
1958.9992399999999,1959.9992,1.0,1.6491,1.1347,98
1959.0761599999998,1960.07612,1.0,1.4525,1.2998,79
1959.1530799999998,1960.15304,1.0,1.4839,1.3879,76
1959.2299999999998,1960.22996,1.0,1.5402,1.5256,74
1959.30692,1960.30688,1.0,1.5576,1.4777,76
1959.38384,1960.3838,1.0,1.5378,1.2716,73
1959.46076,1960.46072,1.0,1.5232,1.2561,69
1959.53768,1960.53764,1.0,1.4318,1.1096,65
1959.6145999999999,1960.61456,1.0,1.471,1.2189,63
1959.6915199999999,1960.69148,1.0,1.5245,1.1814,62
1959.7684399999998,1960.7684,1.0,1.5702,1.384,57
1959.8453599999998,1960.84532,1.0,1.6655,1.5821,51
1959.92228,1960.92224,1.0,1.6931,1.6243,54
1959.9992,1960.99916,1.0,1.7017,1.5842,56
1960.07612,1961.07608,1.0,1.7446,1.6431,57
1960.15304,1961.153,1.0,1.8239,1.7329,60
1960.22996,1961.22992,1.0,1.8334,1.775,63
1960.3068799999999,1961.30684,1.0,1.9684,1.9766,60
1960.3837999999998,1961.38376,1.0,2.1097,2.0741,64
1960.4607199999998,1961.46068,1.0,2.0402,1.9768,68
1960.53764,1961.5376,1.0,2.032,2.0063,67
1960.61456,1961.61452,1.0,2.0739,2.0328,66
1960.69148,1961.69144,1.0,2.0444,2.1063,66
1960.7684,1961.76836,1.0,1.7797,1.7696,82
1960.84532,1961.84528,1.0,1.6718,1.5306,87
1960.9222399999999,1961.9222,1.0,1.7524,1.596,86
1960.9991599999998,1961.99912,1.0,1.7542,1.5631,85
1961.0760799999998,1962.07604,1.0,1.7247,1.4616,82
1961.1529999999998,1962.15296,1.0,1.7368,1.6027,79
1961.22992,1962.22988,1.0,1.7927,1.541,77
1961.30684,1962.3068,1.0,1.7566,1.6352,78
1961.38376,1962.38372,1.0,1.669,1.6316,73
1961.46068,1962.46064,1.0,1.6786,1.6727,70
1961.5375999999999,1962.53756,1.0,1.7234,1.5207,73
1961.6145199999999,1962.61448,1.0,1.707,1.4931,71
1961.6914399999998,1962.6914,1.0,1.6968,1.2737,67
1961.7683599999998,1962.76832,1.0,1.6137,1.3721,54
1961.84528,1962.84524,1.0,1.3672,1.2942,60
1961.9222,1962.92216,1.0,1.495,1.0318,73
1961.99912,1962.99908,1.0,1.4688,1.0062,75
1962.07604,1963.076,1.0,1.5189,1.0652,83
1962.15296,1963.15292,1.0,1.5179,1.0658,84
1962.2298799999999,1963.22984,1.0,1.5593,1.1411,86
1962.3067999999998,1963.30676,1.0,1.5415,1.2085,88
1962.3837199999998,1963.38368,1.0,1.5741,1.2796,96
1962.46064,1963.4606,1.0,1.6157,1.3852,112
1962.53756,1963.53752,1.0,1.63,1.4372,108
1962.61448,1963.61444,1.0,1.6526,1.3994,115
1962.6914,1963.69136,1.0,1.7426,1.5071,120
1962.76832,1963.76828,1.0,1.7512,1.4977,124
1962.8452399999999,1963.8452,1.0,1.9431,1.4981,129
1962.9221599999998,1963.92212,1.0,1.9024,1.5789,116
1962.9990799999998,1963.99904,1.0,1.9122,1.5704,115
1963.0759999999998,1964.07596,1.0,1.8087,1.4829,108
1963.15292,1964.15288,1.0,1.7941,1.4417,117
1963.22984,1964.2298,1.0,1.7373,1.3284,117
1963.30676,1964.30672,1.0,1.7206,1.2432,112
1963.38368,1964.38364,1.0,1.7382,1.2017,104
1963.4605999999999,1964.46056,1.0,1.4404,1.3113,90
1963.5375199999999,1964.53748,1.0,1.4555,1.2793,89
1963.6144399999998,1964.6144,1.0,1.5001,1.3414,82
1963.6913599999998,1964.69132,1.0,1.5125,1.2637,77
1963.76828,1964.76824,1.0,1.5944,1.3885,77
1963.8452,1964.84516,1.0,1.5505,1.7834,65
1963.92212,1964.92208,1.0,1.5717,1.6515,70
1963.99904,1964.999,1.0,1.6846,1.8357,69
1964.07596,1965.07592,1.0,1.7515,1.8558,72
1964.1528799999999,1965.15284,1.0,1.7805,1.7043,63
1964.2297999999998,1965.22976,1.0,1.8369,1.7174,61
1964.3067199999998,1965.30668,1.0,1.9065,1.6345,67
1964.3836399999998,1965.3836,1.0,1.9322,1.594,66
1964.46056,1965.46052,1.0,1.9393,1.039,73
1964.53748,1965.53744,1.0,1.9342,1.1224,74
1964.6144,1965.61436,1.0,1.912,1.1542,80
1964.69132,1965.69128,1.0,1.7764,1.1983,87
1964.7682399999999,1965.7682,1.0,1.5899,1.13,86
1964.8451599999999,1965.84512,1.0,1.6414,1.1358,89
1964.9220799999998,1965.92204,1.0,1.4917,1.2236,83
1964.9989999999998,1965.99896,1.0,1.4959,1.2224,84
1965.07592,1966.07588,1.0,1.47,1.2193,83
1965.15284,1966.1528,1.0,1.3915,1.1798,81
1965.22976,1966.22972,1.0,1.3711,1.1581,83
1965.30668,1966.30664,1.0,1.319,1.1628,78
1965.3836,1966.38356,1.0,1.2901,1.1735,78
1965.4605199999999,1966.46048,1.0,1.2778,1.2695,69
1965.5374399999998,1966.5374,1.0,1.3796,1.2275,81
1965.6143599999998,1966.61432,1.0,1.4259,1.2291,76
1965.69128,1966.69124,1.0,1.4693,1.174,66
1965.7682,1966.76816,1.0,1.4916,1.1397,62
1965.84512,1966.84508,1.0,1.5934,1.1419,57
1965.92204,1966.922,1.0,1.6006,1.1119,57
1965.99896,1966.99892,1.0,1.5804,1.0139,55
1966.0758799999999,1967.07584,1.0,1.5657,0.965,58
1966.1527999999998,1967.15276,1.0,1.6109,1.0734,63
1966.2297199999998,1967.22968,1.0,1.6248,1.1639,63
1966.3066399999998,1967.3066,1.0,1.6228,1.1492,65
1966.38356,1967.38352,1.0,1.6337,1.2064,66
1966.46048,1967.46044,1.0,1.5705,1.1224,69
1966.5374,1967.53736,1.0,1.5994,1.3574,57
1966.61432,1967.61428,1.0,1.6001,1.3127,60
1966.6912399999999,1967.6912,1.0,1.5346,1.2386,65
1966.7681599999999,1967.76812,1.0,1.7541,1.4829,70
1966.8450799999998,1967.84504,1.0,1.7086,1.3927,69
1966.9219999999998,1967.92196,1.0,1.6288,1.3301,67
1966.99892,1967.99888,1.0,1.6596,1.3359,71
1967.07584,1968.0758,1.0,1.714,1.4604,63
1967.15276,1968.15272,1.0,1.6763,1.3786,62
1967.22968,1968.22964,1.0,1.5902,1.2598,59
1967.3066,1968.30656,1.0,1.271,0.8932,108
1967.3835199999999,1968.38348,1.0,1.2994,0.8784,119
1967.4604399999998,1968.4604,1.0,1.2858,0.9039,118
1967.5373599999998,1968.53732,1.0,1.236,0.8052,146
1967.61428,1968.61424,1.0,1.2244,0.7887,142
1967.6912,1968.69116,1.0,1.2297,0.8052,141
1967.76812,1968.76808,1.0,1.2189,0.7803,137
1967.84504,1968.845,1.0,1.2182,0.781,138
1967.92196,1968.92192,1.0,1.2352,0.7808,139
1967.9988799999999,1968.99884,1.0,1.2509,0.7796,141
1968.0757999999998,1969.07576,1.0,1.2474,0.7826,148
1968.1527199999998,1969.15268,1.0,1.2406,0.7744,146
1968.2296399999998,1969.2296,1.0,1.2383,0.7743,146
1968.30656,1969.30652,1.0,1.201,0.6883,96
1968.38348,1969.38344,1.0,1.1673,0.69,90
1968.4604,1969.46036,1.0,1.1662,0.6222,92
1968.53732,1969.53728,1.0,1.5873,1.3287,65
1968.6142399999999,1969.6142,1.0,1.6769,1.4538,65
1968.6911599999999,1969.69112,1.0,1.5257,1.2193,63
1968.7680799999998,1969.76804,1.0,1.5168,1.1836,64
1968.8449999999998,1969.84496,1.0,1.5036,1.1563,62
1968.92192,1969.92188,1.0,1.3964,1.0653,64
1968.99884,1969.9988,1.0,1.4315,1.0092,65
1969.07576,1970.07572,1.0,1.461,1.0205,64
1969.15268,1970.15264,1.0,1.5019,1.0538,60
1969.2296,1970.22956,1.0,1.5029,1.136,65
1969.3065199999999,1970.30648,1.0,1.4495,1.0815,65
1969.3834399999998,1970.3834,1.0,1.5028,1.1557,64
1969.4603599999998,1970.46032,1.0,1.4533,1.0991,58
1969.53728,1970.53724,1.0,1.5226,1.157,59
1969.6142,1970.61416,1.0,1.6471,1.2379,60
1969.69112,1970.69108,1.0,1.6982,1.2786,58
1969.76804,1970.768,1.0,1.7292,1.2988,61
1969.84496,1970.84492,1.0,1.7124,1.3034,61
1969.9218799999999,1970.92184,1.0,1.9217,1.5621,61
1969.9987999999998,1970.99876,1.0,1.9126,1.64,57
1970.0757199999998,1971.07568,1.0,1.848,1.6203,56
1970.1526399999998,1971.1526,1.0,1.5288,1.644,238
1970.22956,1971.22952,1.0,1.5504,1.6466,252
1970.30648,1971.30644,1.0,1.6034,1.6399,261
1970.3834,1971.38336,1.0,1.5911,1.639,262
1970.46032,1971.46028,1.0,1.579,1.6377,270
1970.5372399999999,1971.5372,1.0,1.5996,1.6058,277
1970.6141599999999,1971.61412,1.0,1.5993,1.5973,274
1970.6910799999998,1971.69104,1.0,1.5996,1.5975,273
1970.7679999999998,1971.76796,1.0,1.5992,1.5958,275
1970.84492,1971.84488,1.0,1.6003,1.5979,276
1970.92184,1971.9218,1.0,1.6007,1.5982,277
1970.99876,1971.99872,1.0,1.5978,1.5987,276
1971.07568,1972.07564,1.0,1.5848,1.5946,281
1971.1526,1972.15256,1.0,1.914,1.451,108
1971.2295199999999,1972.22948,1.0,1.8769,1.3639,93
1971.3064399999998,1972.3064,1.0,1.5748,1.3236,86
1971.3833599999998,1972.38332,1.0,1.7356,1.2361,83
1971.46028,1972.46024,1.0,1.727,1.091,75
1971.5372,1972.53716,1.0,1.6876,1.1901,69
1971.61412,1972.61408,1.0,1.68,1.1394,67
1971.69104,1972.691,1.0,1.636,1.1933,68
1971.76796,1972.76792,1.0,1.6582,1.3326,60
1971.8448799999999,1972.84484,1.0,1.4725,1.1977,65
1971.9217999999998,1972.92176,1.0,1.4473,1.2645,63
1971.9987199999998,1972.99868,1.0,1.4126,1.2023,68
1972.0756399999998,1973.0756,1.0,1.4664,1.3542,65
1972.15256,1973.15252,1.0,1.38,1.2575,58
1972.22948,1973.22944,1.0,1.4363,1.3793,54
1972.3064,1973.30636,1.0,1.4112,1.3183,51
1972.38332,1973.38328,1.0,1.3721,1.3041,50
1972.4602399999999,1973.4602,1.0,1.4242,1.4172,53
1972.5371599999999,1973.53712,1.0,1.4784,1.3746,54
1972.6140799999998,1973.61404,1.0,1.59,1.4068,58
1972.6909999999998,1973.69096,1.0,1.6046,1.3904,57
1972.76792,1973.76788,1.0,1.593,1.2949,66
1972.84484,1973.8448,1.0,1.7733,1.4063,62
1972.92176,1973.92172,1.0,1.6974,1.3079,62
1972.99868,1973.99864,1.0,1.7505,1.3788,59
1973.0756,1974.07556,1.0,1.8107,1.052,70
1973.1525199999999,1974.15248,1.0,2.2303,1.2636,97
1973.2294399999998,1974.2294,1.0,2.3611,1.4688,118
1973.3063599999998,1974.30632,1.0,2.3658,1.6403,139
1973.3832799999998,1974.38324,1.0,2.3768,1.6682,149
1973.4602,1974.46016,1.0,2.5099,1.7494,170
1973.53712,1974.53708,1.0,2.4872,1.7434,178
1973.61404,1974.614,1.0,2.5481,1.881,199
